word,start,end,duration,score,pause_before
countries,575.178,575.778,0.6,0.891,0.12
"Yes,",577.3,577.6,0.3,0.915,1.522
it's,577.82,578.361,0.541,0.498,0.22
necessary,578.461,579.101,0.64,0.887,0.1
because,579.482,579.882,0.4,0.895,0.381
when,579.902,581.783,1.881,0.679,0.02
you,583.644,584.665,1.021,0.739,1.861
can,584.685,584.885,0.2,0.837,0.02
have,585.225,585.706,0.481,0.858,0.34
some,586.386,586.646,0.26,0.977,0.68
goals,586.967,587.267,0.3,0.69,0.321
or,587.367,587.487,0.12,0.756,0.1
aims,587.647,587.867,0.22,0.912,0.16
in,589.228,589.388,0.16,0.982,1.361
foreign,589.909,590.229,0.32,0.771,0.521
"country,",590.289,590.769,0.48,0.946,0.06
he,591.95,592.15,0.2,0.919,1.181
or,592.25,592.37,0.12,0.867,0.1
she,592.53,592.891,0.361,0.74,0.16
or,593.131,593.251,0.12,0.811,0.24
there,593.311,593.591,0.28,0.45,0.06
can,594.472,594.952,0.48,0.823,0.881
help,595.052,595.352,0.3,0.856,0.1
you,595.412,595.653,0.241,0.952,0.06
in,596.113,596.193,0.08,0.894,0.46
some,596.253,596.453,0.2,0.915,0.06
situation,596.533,597.074,0.541,0.958,0.08
and,597.154,597.594,0.44,0.716,0.08
you,597.714,598.094,0.38,0.913,0.12
can,598.214,598.835,0.621,0.485,0.12
some,599.915,600.196,0.281,0.891,1.08
speaking,602.958,603.358,0.4,0.884,2.762
or,603.478,603.598,0.12,0.802,0.12
talking,603.658,604.018,0.36,0.833,0.06
about,604.118,604.378,0.26,0.795,0.1
your,604.859,605.099,0.24,0.876,0.481
problems,605.179,605.799,0.62,0.868,0.08
with,605.879,606.1,0.221,0.876,0.08
him,606.16,606.34,0.18,0.971,0.06
Okay.,609.198,609.599,0.401,0.681,2.858
Thank,610.32,610.581,0.261,0.899,0.721
you.,610.601,610.861,0.26,0.655,0.02
That,611.102,611.302,0.2,0.948,0.241
is,611.362,611.463,0.101,0.639,0.06
the,611.483,611.563,0.08,0.878,0.02
end,611.603,611.743,0.14,0.903,0.04
of,611.783,611.843,0.06,0.749,0.04
your,611.883,612.124,0.241,0.899,0.04
speaking,612.204,612.605,0.401,0.989,0.08
test.,612.685,612.985,0.3,0.729,0.08
Thank,613.446,613.667,0.221,0.429,0.461
you.,613.707,613.807,0.1,0.38,0.04
"Alright,",623.768,624.148,0.38,0.731,9.961
so,624.789,624.989,0.2,0.92,0.641
I,625.429,625.489,0.06,0.996,0.44
have,625.529,625.649,0.12,0.956,0.04
some,625.689,625.849,0.16,0.745,0.04
tips,625.929,626.21,0.281,0.905,0.08
for,626.31,626.49,0.18,0.83,0.1
you.,626.53,626.73,0.2,0.859,0.04
First,627.15,627.45,0.3,0.867,0.42
of,627.53,627.611,0.081,0.832,0.08
"all,",627.711,627.871,0.16,0.839,0.1
IELTS,628.411,628.851,0.44,0.664,0.54
exam,628.891,629.352,0.461,0.939,0.04
is,629.772,629.932,0.16,0.737,0.42
a,630.412,630.492,0.08,0.971,0.48
test,630.833,631.193,0.36,0.978,0.341
for,631.313,631.653,0.34,0.639,0.12
assessing,632.294,632.894,0.6,0.844,0.641
your,633.014,633.334,0.32,0.793,0.12
general,633.514,634.095,0.581,0.845,0.18
knowledge.,634.155,634.575,0.42,0.909,0.06
For,634.735,634.835,0.1,0.955,0.16
"example,",634.875,635.516,0.641,0.831,0.04
you,635.576,635.776,0.2,0.995,0.06
should,635.856,636.176,0.32,0.777,0.08
know,636.356,636.596,0.24,0.646,0.18
a,636.616,636.636,0.02,0.0,0.02
lot,636.917,637.137,0.22,0.88,0.281
of,637.197,637.257,0.06,0.768,0.06
topic-related,637.517,638.278,0.761,0.918,0.26
vocabularies,638.358,639.378,1.02,0.881,0.08
or,639.638,639.738,0.1,0.562,0.26
good,639.859,640.059,0.2,0.918,0.121
range,640.099,640.339,0.24,0.712,0.04
of,640.379,640.459,0.08,0.836,0.04
"grammar,",640.559,641.159,0.6,0.915,0.1
okay?,641.36,641.74,0.38,0.75,0.201
Although,642.821,644.622,1.801,0.759,1.081
actually,644.742,645.102,0.36,0.868,0.12
you,645.142,645.222,0.08,0.962,0.04
didn't,645.262,645.522,0.26,0.844,0.04
have,645.662,645.943,0.281,0.885,0.14
so,646.143,646.403,0.26,0.956,0.2
"many,",646.523,646.963,0.44,0.909,0.12
you,647.584,647.664,0.08,0.552,0.621
"know,",647.704,647.924,0.22,0.899,0.04
grammatical,648.044,648.904,0.86,0.894,0.12
points.,648.985,649.405,0.42,0.889,0.081
while,649.865,650.045,0.18,0.857,0.46
you,650.085,650.186,0.101,0.784,0.04
were,650.206,650.366,0.16,0.737,0.02
speaking.,650.466,650.926,0.46,0.936,0.1
Pay,651.207,651.307,0.1,0.796,0.281
attention,651.347,651.888,0.541,0.893,0.04
to,652.208,652.428,0.22,0.76,0.32
even,652.568,652.769,0.201,0.771,0.14
basic,652.869,653.329,0.46,0.844,0.1
grammars.,653.45,653.89,0.44,0.927,0.121
For,653.93,654.03,0.1,0.701,0.04
"example,",654.07,654.471,0.401,0.899,0.04
when,654.511,654.651,0.14,0.708,0.04
you,654.671,654.771,0.1,0.844,0.02
are,654.811,654.911,0.1,0.724,0.04
talking,654.971,655.312,0.341,0.879,0.06
about,655.412,655.792,0.38,0.913,0.1
a,655.812,655.832,0.02,0.0,0.02
past,656.193,656.733,0.54,0.936,0.361
"tense,",656.874,657.294,0.42,0.841,0.141
you,657.795,657.935,0.14,0.917,0.501
should,657.975,658.235,0.26,0.84,0.04
use,658.476,658.676,0.2,0.697,0.241
verbs,658.936,659.297,0.361,0.836,0.26
in,659.437,659.537,0.1,0.874,0.14
past,659.637,659.997,0.36,0.813,0.1
tense.,660.057,660.378,0.321,0.909,0.06
OK?,660.818,661.158,0.34,0.883,0.44
Or,661.599,661.699,0.1,0.777,0.441
when,661.719,662.279,0.56,0.579,0.02
you,662.299,662.659,0.36,0.857,0.02
are,662.679,662.739,0.06,0.0,0.02
speaking,662.839,663.159,0.32,0.937,0.1
in,663.199,663.26,0.061,0.69,0.04
present,663.34,663.76,0.42,0.882,0.08
"tense,",663.8,664.12,0.32,0.907,0.04
you,664.42,664.5,0.08,0.993,0.3
should,664.52,664.72,0.2,0.745,0.02
choose,665.701,666.041,0.34,0.802,0.981
present,666.281,666.842,0.561,0.841,0.24
verbs.,667.522,667.862,0.34,0.91,0.68
OK?,668.203,668.563,0.36,0.863,0.341
It's,668.803,668.923,0.12,0.862,0.24
very,668.963,669.143,0.18,0.95,0.04
important.,669.183,669.703,0.52,0.98,0.04
"Moreover,",670.784,671.324,0.54,0.92,1.081
pay,671.344,671.404,0.06,0.0,0.02
attention,671.665,672.125,0.46,0.89,0.261
to,672.165,672.265,0.1,0.966,0.04
some,672.365,672.665,0.3,0.99,0.1
grammatical,673.226,673.846,0.62,0.749,0.561
points.,673.926,674.266,0.34,0.835,0.08
For,674.286,674.386,0.1,0.916,0.02
"example,",674.446,674.907,0.461,0.965,0.06
after,675.107,675.387,0.28,0.871,0.2
modal,675.487,675.907,0.42,0.784,0.1
verbs,675.947,676.287,0.34,0.92,0.04
like,676.367,676.668,0.301,0.622,0.08
"can,",676.788,677.188,0.4,0.834,0.12
you,677.868,677.928,0.06,0.95,0.68
should,677.968,678.149,0.181,0.826,0.04
use,678.409,678.549,0.14,0.787,0.26
base,678.669,678.949,0.28,0.898,0.12
form.,679.029,679.249,0.22,0.688,0.08
For,679.449,679.549,0.1,0.871,0.2
"example,",679.589,679.99,0.401,0.929,0.04
I,680.31,680.41,0.1,0.781,0.32
can,680.57,680.91,0.34,0.867,0.16
play.,681.07,681.451,0.381,0.852,0.16
He,681.731,681.871,0.14,0.824,0.28
can,681.991,682.391,0.4,0.766,0.12
do.,682.671,682.891,0.22,0.933,0.28
All,683.312,683.412,0.1,0.768,0.421
right?,683.452,683.712,0.26,0.817,0.04
You,684.052,684.212,0.16,0.939,0.34
had,684.232,684.372,0.14,0.86,0.02
some,684.432,684.652,0.22,0.869,0.06
errors,684.833,685.153,0.32,0.72,0.181
and,685.193,685.273,0.08,0.656,0.04
mistakes,685.333,685.733,0.4,0.902,0.06
related,686.193,686.614,0.421,0.892,0.46
to,686.714,686.914,0.2,0.8,0.1
this,687.174,687.354,0.18,0.719,0.26
grammatical,687.474,688.215,0.741,0.901,0.12
point.,688.315,688.575,0.26,0.882,0.1
You,689.552,689.712,0.16,0.896,0.977
understand,689.812,690.513,0.701,0.811,0.1
what,691.273,691.393,0.12,0.949,0.76
I'm,691.433,691.573,0.14,0.534,0.04
talking,691.613,691.954,0.341,0.935,0.04
about.,692.014,692.334,0.32,0.896,0.06
You,692.394,692.494,0.1,0.997,0.06
can,692.534,692.754,0.22,0.724,0.04
get,693.154,693.415,0.261,0.767,0.4
what,694.015,694.195,0.18,0.846,0.6
is,694.235,694.335,0.1,0.72,0.04
the,694.355,694.455,0.1,0.911,0.02
"question,",694.535,695.056,0.521,0.913,0.08
but,695.376,695.516,0.14,0.89,0.32
sometimes,695.656,696.276,0.62,0.802,0.14
you,696.396,696.597,0.201,0.804,0.12
have,696.657,696.997,0.34,0.789,0.06
a,697.017,697.037,0.02,0.0,0.02
lot,697.257,697.457,0.2,0.781,0.22
of,697.497,697.557,0.06,0.812,0.04
hesitation.,697.697,698.478,0.781,0.883,0.14
You,698.558,698.638,0.08,0.973,0.08
need,698.678,698.838,0.16,0.932,0.04
to,698.878,699.018,0.14,0.886,0.04
think,699.258,699.538,0.28,0.958,0.24
for,699.759,699.919,0.16,0.884,0.221
a,699.939,699.959,0.02,0.992,0.02
long,700.039,700.359,0.32,0.94,0.08
time.,700.499,700.899,0.4,0.796,0.14
It's,701.32,701.5,0.18,0.905,0.421
not,701.6,701.8,0.2,0.886,0.1
good.,701.92,702.2,0.28,0.905,0.12
You,702.3,702.38,0.08,0.975,0.1
"know,",702.42,702.62,0.2,0.765,0.04
you,702.881,702.981,0.1,0.925,0.261
should,703.001,703.221,0.22,0.774,0.02
practice,703.621,704.121,0.5,0.802,0.4
a,704.141,704.161,0.02,0.0,0.02
"lot,",704.302,704.582,0.28,0.966,0.141
especially,704.922,705.442,0.52,0.92,0.34
at,705.562,705.662,0.1,0.699,0.12
home,705.742,706.023,0.281,0.836,0.08
in,706.323,706.383,0.06,0.985,0.3
front,706.423,706.623,0.2,0.724,0.04
of,706.683,706.763,0.08,0.95,0.06
a,706.823,706.883,0.06,0.667,0.06
mirror.,706.923,707.283,0.36,0.876,0.04
You,707.504,707.624,0.12,0.92,0.221
can,707.664,707.904,0.24,0.726,0.04
practice,708.024,708.524,0.5,0.86,0.12
it.,708.664,708.744,0.08,0.759,0.14
You,708.764,708.844,0.08,0.937,0.02
can,708.864,709.065,0.201,0.808,0.02
speak,709.105,709.305,0.2,0.875,0.04
with,709.345,709.505,0.16,0.911,0.04
yourself.,709.565,710.105,0.54,0.923,0.06
In,710.245,710.305,0.06,0.981,0.14
this,710.345,710.505,0.16,0.902,0.04
"case,",710.566,710.846,0.28,0.964,0.061
maybe,710.906,711.206,0.3,0.908,0.06
your,711.246,711.466,0.22,0.861,0.04
speaking,712.327,712.707,0.38,0.88,0.861
will,712.927,713.547,0.62,0.778,0.22
be,713.587,713.688,0.101,0.98,0.04
better.,713.728,714.028,0.3,0.941,0.04
For,714.899,715.039,0.14,0.895,0.871
"pronunciation,",715.079,715.94,0.861,0.805,0.04
or,716.1,716.2,0.1,0.736,0.16
for,716.32,716.44,0.12,0.956,0.12
improving,716.58,717.081,0.501,0.802,0.14
your,717.101,717.281,0.18,0.873,0.02
"pronunciation,",717.321,718.102,0.781,0.878,0.04
you,718.482,718.602,0.12,0.877,0.38
can,718.642,718.822,0.18,0.968,0.04
download,718.882,719.363,0.481,0.825,0.06
some,719.463,719.843,0.38,0.854,0.1
"audios,",720.083,720.624,0.541,0.777,0.24
or,720.864,720.964,0.1,0.501,0.24
you,721.004,721.124,0.12,0.895,0.04
can,721.164,721.404,0.24,0.86,0.04
buy,721.504,721.725,0.221,0.864,0.1
some,721.765,721.925,0.16,0.89,0.04
"books,",721.985,722.325,0.34,0.838,0.06
self-study,722.505,723.126,0.621,0.744,0.18
"books,",723.166,723.406,0.24,0.784,0.04
and,723.646,723.766,0.12,0.874,0.24
you,723.926,724.027,0.101,0.944,0.16
should,724.047,724.247,0.2,0.712,0.02
repeat,724.347,724.827,0.48,0.792,0.1
again,724.987,725.368,0.381,0.808,0.16
and,725.428,725.528,0.1,0.705,0.06
again.,725.568,725.948,0.38,0.925,0.04
You,726.288,726.388,0.1,0.893,0.34
can,726.408,726.529,0.121,0.89,0.02
listen,726.549,726.789,0.24,0.929,0.02
to,726.849,726.929,0.08,0.746,0.06
podcasts,727.009,727.85,0.841,0.861,0.08
or,728.03,728.13,0.1,0.45,0.18
songs,728.27,728.67,0.4,0.962,0.14
or,728.75,728.79,0.04,1.0,0.08
even,728.871,729.031,0.16,0.911,0.081
watch,729.091,729.291,0.2,0.625,0.06
movies.,729.351,729.791,0.44,0.912,0.06
It,730.152,730.232,0.08,0.756,0.361
would,730.252,730.412,0.16,0.746,0.02
be,730.432,730.532,0.1,0.988,0.02
really,730.612,730.912,0.3,0.757,0.08
helpful,730.972,731.373,0.401,0.893,0.06
to,731.393,731.433,0.04,0.995,0.02
improve,731.513,731.833,0.32,0.847,0.08
your,731.873,732.093,0.22,0.802,0.04
pronunciation.,732.153,732.994,0.841,0.86,0.06
Try,733.975,734.195,0.22,0.824,0.981
to,734.275,734.355,0.08,0.996,0.08
read,734.415,734.575,0.16,0.656,0.06
more,734.695,734.956,0.261,0.909,0.12
samples.,735.316,736.657,1.341,0.904,0.36
IL,737.037,737.317,0.28,0.76,0.38
samples,737.398,737.938,0.54,0.92,0.081
are,738.098,738.198,0.1,0.634,0.16
available,738.258,738.719,0.461,0.954,0.06
on,738.799,738.879,0.08,0.921,0.08
the,738.919,738.999,0.08,0.916,0.04
"internet,",739.019,739.559,0.54,0.845,0.02
and,739.619,739.699,0.08,0.958,0.06
if,739.779,739.86,0.081,0.861,0.08
you,739.92,740.12,0.2,0.926,0.06
read,740.46,740.66,0.2,0.749,0.34
them,740.74,741.0,0.26,0.934,0.08
and,741.201,741.301,0.1,0.792,0.201
repeat,741.361,741.741,0.38,0.847,0.06
their,741.781,741.961,0.18,0.941,0.04
ideas,742.081,742.642,0.561,0.867,0.12
or,742.742,742.822,0.08,0.603,0.1
grammatical,742.882,743.523,0.641,0.932,0.06
"features,",743.603,744.023,0.42,0.958,0.08
it,744.433,744.513,0.08,0.968,0.41
is,744.593,744.693,0.1,0.812,0.08
"really,",744.914,745.254,0.34,0.944,0.221
really,745.294,745.635,0.341,0.805,0.04
helpful.,745.735,747.177,1.442,0.861,0.1
In,748.658,748.698,0.04,1.0,1.481
this,748.739,748.879,0.14,0.991,0.041
"case,",748.959,749.259,0.3,0.846,0.08
you,749.459,749.64,0.181,0.938,0.2
got,749.68,749.94,0.26,0.782,0.04
"3.5,",749.96,751.422,1.462,0.918,0.02
which,751.902,752.043,0.141,0.984,0.48
is,752.103,752.203,0.1,0.708,0.06
not,752.283,752.523,0.24,0.858,0.08
"bad,",752.603,752.924,0.321,0.976,0.08
but,753.004,753.184,0.18,0.859,0.08
that's,753.244,753.444,0.2,0.785,0.06
really,753.545,753.805,0.26,0.912,0.101
good.,753.885,754.225,0.34,0.807,0.08
You,754.526,754.626,0.1,0.997,0.301
should,754.646,754.826,0.18,0.851,0.02
try,754.866,755.066,0.2,0.852,0.04
harder,755.147,755.527,0.38,0.808,0.081
than,755.567,755.727,0.16,0.914,0.04
this.,755.767,755.968,0.201,0.904,0.04
Thank,756.408,756.588,0.18,0.331,0.44
you.,756.608,756.689,0.081,0.004,0.02
You're,757.069,757.229,0.16,0.941,0.38
very,757.269,757.409,0.14,0.518,0.04
welcome.,757.429,757.79,0.361,0.871,0.02
Hi,768.204,768.344,0.14,0.994,10.414
"there,",768.364,768.644,0.28,0.63,0.02
I,769.085,769.145,0.06,0.997,0.441
have,769.185,769.305,0.12,0.907,0.04
some,769.325,769.505,0.18,0.862,0.02
tips,769.545,769.805,0.26,0.847,0.04
for,769.865,770.045,0.18,0.887,0.06
you.,770.106,770.266,0.16,0.994,0.061
Be,771.246,771.387,0.141,0.976,0.98
"careful,",771.507,772.227,0.72,0.901,0.12
be,772.527,772.607,0.08,0.998,0.3
careful,772.648,773.108,0.46,0.849,0.041
about,773.268,773.588,0.32,0.963,0.16
your,773.648,773.828,0.18,0.892,0.06
general,773.929,774.349,0.42,0.933,0.101
English.,774.449,774.889,0.44,0.851,0.1
It's,775.53,775.67,0.14,0.86,0.641
really,775.75,776.01,0.26,0.846,0.08
important,776.05,776.551,0.501,0.923,0.04
to,776.611,776.691,0.08,0.992,0.06
have,776.771,776.991,0.22,0.935,0.08
at,777.231,777.331,0.1,0.861,0.24
least,777.431,777.732,0.301,0.802,0.1
intermediate,778.352,779.033,0.681,0.95,0.62
level,779.093,779.473,0.38,0.748,0.06
or,779.673,779.773,0.1,0.8,0.2
upper,779.973,780.193,0.22,0.767,0.2
intermediate,780.233,780.994,0.761,0.95,0.04
level.,781.034,781.354,0.32,0.89,0.04
So,781.535,781.695,0.16,1.0,0.181
for,781.975,782.135,0.16,0.778,0.28
those,782.215,782.535,0.32,0.856,0.08
who,782.876,783.336,0.46,0.827,0.341
are,783.356,783.416,0.06,0.001,0.02
beginner,783.556,784.117,0.561,0.947,0.14
or,784.297,784.377,0.08,0.863,0.18
"starter,",784.517,785.117,0.6,0.918,0.14
it's,785.217,785.358,0.141,0.876,0.1
not,785.478,785.678,0.2,0.717,0.12
a,785.698,785.738,0.04,0.495,0.02
good,785.798,785.958,0.16,0.931,0.06
idea,786.038,786.358,0.32,0.794,0.08
to,786.418,786.518,0.1,0.994,0.06
participate,786.619,787.339,0.72,0.903,0.101
in,787.399,787.479,0.08,0.812,0.06
IELTS,787.659,787.92,0.261,0.605,0.18
speaking,788.02,788.4,0.38,0.889,0.1
test,788.48,788.76,0.28,0.768,0.08
or,789.0,789.12,0.12,0.748,0.24
totally,789.221,789.701,0.48,0.873,0.101
in,789.981,790.081,0.1,0.824,0.28
IELTS,790.341,790.642,0.301,0.576,0.26
test.,790.722,791.022,0.3,0.941,0.08
In,791.362,791.422,0.06,0.994,0.34
this,791.442,791.582,0.14,0.926,0.02
"case,",791.622,791.863,0.241,0.902,0.04
you,792.243,792.363,0.12,0.889,0.38
cannot,792.403,792.903,0.5,0.881,0.04
gain,793.084,793.484,0.4,0.747,0.181
a,794.104,794.204,0.1,0.82,0.62
good,794.485,794.765,0.28,0.966,0.281
score.,794.805,795.205,0.4,0.927,0.04
"Well,",796.286,796.506,0.22,0.989,1.081
candidates,796.926,797.567,0.641,0.878,0.42
who,797.707,797.827,0.12,0.885,0.14
are,797.887,798.007,0.12,0.777,0.06
beginners,798.087,798.527,0.44,0.779,0.08
cannot,798.607,799.027,0.42,0.929,0.08
make,799.167,799.447,0.28,0.724,0.14
complex,799.967,800.548,0.581,0.93,0.52
sentences.,800.808,801.428,0.62,0.866,0.26
Even,801.808,802.028,0.22,0.704,0.38
they,802.088,802.248,0.16,0.869,0.06
have,802.288,802.468,0.18,0.816,0.04
problems,802.548,803.008,0.46,0.796,0.08
when,803.229,803.349,0.12,0.937,0.221
they,803.369,803.509,0.14,0.847,0.02
want,803.549,803.729,0.18,0.791,0.04
to,803.769,803.849,0.08,0.772,0.04
make,803.889,804.089,0.2,0.859,0.04
simple,804.229,804.629,0.4,0.887,0.14
sentences.,804.689,805.289,0.6,0.922,0.06
So,806.05,806.23,0.18,0.894,0.761
it's,806.51,806.65,0.14,0.791,0.28
important,806.69,807.15,0.46,0.93,0.04
to,807.23,807.33,0.1,0.733,0.08
improve,807.37,807.73,0.36,0.83,0.04
your,807.77,807.99,0.22,0.854,0.04
grammatical,808.25,808.971,0.721,0.925,0.26
range.,809.071,809.331,0.26,0.783,0.1
They,810.411,810.551,0.14,0.711,1.08
have,810.591,810.791,0.2,0.824,0.04
a,810.951,810.991,0.04,0.663,0.16
lot,811.051,811.231,0.18,0.988,0.06
of,811.271,811.351,0.08,0.787,0.04
hesitation.,811.471,812.292,0.821,0.863,0.12
They,812.752,812.932,0.18,0.798,0.46
think,812.992,813.252,0.26,0.794,0.06
about,813.372,813.792,0.42,0.88,0.12
what,813.992,814.132,0.14,0.881,0.2
they,814.172,814.312,0.14,0.791,0.04
want,814.352,814.553,0.201,0.838,0.04
to,814.593,814.693,0.1,0.766,0.04
say,814.813,815.173,0.36,0.833,0.12
and,815.493,815.633,0.14,0.775,0.32
how,815.913,816.173,0.26,0.939,0.28
they,816.233,816.373,0.14,0.912,0.06
want,816.433,816.633,0.2,0.662,0.06
to,816.653,816.733,0.08,0.823,0.02
say.,816.813,817.093,0.28,0.724,0.08
They,817.514,817.634,0.12,0.862,0.421
cannot,817.674,818.114,0.44,0.888,0.04
speak,818.754,819.074,0.32,0.976,0.64
smoothly,819.674,820.195,0.521,0.851,0.6
and,820.335,820.455,0.12,0.834,0.14
fluently.,820.615,821.255,0.64,0.861,0.16
"Unfortunately,",822.821,823.922,1.101,0.851,1.566
these,824.142,824.362,0.22,0.888,0.22
candidates,824.462,825.222,0.76,0.839,0.1
have,825.402,825.763,0.361,0.742,0.18
a,825.783,825.803,0.02,0.0,0.02
plethora,826.043,826.683,0.64,0.908,0.24
of,826.743,826.823,0.08,0.871,0.06
problems,826.923,827.523,0.6,0.877,0.1
in,827.664,827.744,0.08,0.86,0.141
terms,827.804,828.144,0.34,0.89,0.06
of,828.324,828.404,0.08,0.897,0.18
pronunciation,828.764,829.484,0.72,0.876,0.36
features.,829.544,830.045,0.501,0.875,0.06
So,830.645,830.845,0.2,0.876,0.6
I,831.806,831.886,0.08,0.713,0.961
highly,832.006,832.326,0.32,0.975,0.12
recommend,832.386,832.926,0.54,0.887,0.06
you,833.006,833.246,0.24,0.888,0.08
not,833.667,833.907,0.24,0.78,0.421
to,834.067,834.307,0.24,0.869,0.16
participate,834.667,835.527,0.86,0.928,0.36
in,835.628,835.688,0.06,0.998,0.101
IELTS,835.988,836.388,0.4,0.802,0.3
exam,836.748,837.208,0.46,0.909,0.36
when,837.488,837.669,0.181,0.768,0.28
you,837.689,837.809,0.12,0.919,0.02
are,837.889,838.029,0.14,0.795,0.08
starter,838.249,839.169,0.92,0.866,0.22
or,839.189,839.229,0.04,0.0,0.02
beginner.,839.309,839.81,0.501,0.966,0.08
Please,840.45,840.85,0.4,0.892,0.64
improve,840.99,841.33,0.34,0.868,0.14
your,841.37,841.551,0.181,0.895,0.04
general,841.651,842.051,0.4,0.874,0.1
English,842.151,842.511,0.36,0.876,0.1
at,842.871,842.991,0.12,0.648,0.36
least,843.051,843.311,0.26,0.666,0.06
up,843.552,843.672,0.12,0.808,0.241
to,843.752,843.952,0.2,0.751,0.08
intermediate,844.452,845.152,0.7,0.908,0.5
or,845.413,845.533,0.12,0.626,0.261
upper,845.993,846.193,0.2,0.708,0.46
intermediate,846.213,846.873,0.66,0.878,0.02
level.,846.933,847.233,0.3,0.896,0.06
Thank,847.914,848.134,0.22,0.895,0.681
you.,848.154,848.294,0.14,0.989,0.02
